"","date","ECA.TO.csv","SU.TO.csv","HSE.TO.csv"
"2024","2014-12-08",-0.0927969471411057,-0.0608308227241481,-0.0478935541164136
"2025","2014-12-09",-0.00850779634788653,0.00940622689633471,-0.00759607156224809
"2026","2014-12-10",-0.0437158509004415,-0.0496760654688251,-0.0163487359783215
"2027","2014-12-11",-0.00552487657072135,0.00460692938754482,-0.00456206004580795
"2028","2014-12-12",-0.0254957446530938,-0.0133831229897989,0.011722313583151
"2029","2014-12-15",-0.0436068201138964,-0.024226985895274,-0.0072661474722226
"2030","2014-12-16",0.0688231624777236,0.0496818484885576,0.0573630351226922
"2031","2014-12-17",0.0447074110135772,0.0756090891065976,0.09597520565013
"2032","2014-12-18",0.0224936152179601,0.0116247435256455,-0.0034951375313283
"2033","2014-12-19",0.0517976470829977,-0.000831104819531267,0.0578119030967401
"2034","2014-12-22",-0.0438930610405249,0.0211497417257818,-0.0103511994166453
"2035","2014-12-23",0.0187265435848623,0.0243385953150822,0.0167212132625513
"2037","2014-12-29",0.0172519839743097,0.00240642030407229,0.0112440887408936
"2038","2014-12-30",-0.00870104715015192,-0.00835810423119616,-0.00915077985317567
"2039","2014-12-31",0.00494744649459221,-0.00514899736981417,0.0065454395328986
"2040","2015-01-02",0.00492308977136045,0.0120480958447896,0.0100792292673137
"2041","2015-01-05",-0.0545100659854819,-0.0456326074083035,-0.0420105335334632
"2042","2015-01-06",-0.0111549024235412,-0.0139086365437432,-0.033333371503569
"2043","2015-01-07",0.00196469277983069,0.00141718859127537,-0.00781244525975546
"2044","2015-01-08",0.0161082392566196,0.0194552864503214,-0.00589386808616021
"2045","2015-01-09",-0.000644763798643204,-0.0103903207433438,0.0169949170971702
"2046","2015-01-12",-0.0244385160174076,-0.0375874229272296,-0.0322966176046045
"2047","2015-01-13",-0.00331347848618372,0.0140764506912986,-0.00966182733542866
"2048","2015-01-14",-0.00801605310137235,0.00172059775646377,0.028928829540494
"2049","2015-01-15",0.0215686329193328,-0.0189946651504041,-0.0102685992016318
"2050","2015-01-16",0.0630740574545471,0.0494444295469113,0.0456088059208744
"2051","2015-01-19",-0.0401273444556558,-0.0126582756521898,-0.0106667046113068
"2052","2015-01-20",0.00254123674667735,-0.0177497520906807,-0.00806448377858663
"2053","2015-01-21",0.0425791542864783,0.0403846593496548,0.0217881268139828
"2054","2015-01-22",0.0060459960817556,0.0175437915358278,0.0305899046313788
"2055","2015-01-23",0.00421426142155065,0.00776650308068801,-0.00955877968908375
"2056","2015-01-26",-0.0042320965829123,-0.00349370524841816,0.00766140697023816
"2057","2015-01-27",0.0259127238484558,0.0111613601106756,0.00508164958976725
"2058","2015-01-28",-0.0625781924567668,-0.0242242854091888,-0.044747736082791
"2059","2015-01-29",-0.0540896792417456,-0.00823277156837456,-0.00610464276032502
"2060","2015-01-30",0.0244529886837346,0.0385225003292144,0.0416819712578332
"2061","2015-02-02",0.0489596103500389,0.0368487065926246,0.0218168273928879
"2062","2015-02-03",0.0715909475266206,0.00505691797548808,0.0213510882490055
"2063","2015-02-04",-0.0126582915183705,-0.0549479198862801,-0.04613695651502
"2064","2015-02-05",-0.014594272268495,0.0274966912941129,0.0291503651597563
"2065","2015-02-06",0.00116621416044193,0.00490454996926118,-0.000355563747146707
"2066","2015-02-09",0.00981522337853193,0.0142492964660151,0.00671137737816606
"2067","2015-02-10",-0.0188235177441678,-0.0229047478716382,-0.0216528727489674
"2068","2015-02-11",-0.00890202290178628,0.00181874579650846,0.00823197365895318
"2069","2015-02-12",0.0151958005730837,0.0156009419405793,0.0261415135554234
"2070","2015-02-13",0.0256263290527069,0.00761426852072019,0.0224872308976113
"2071","2015-02-17",-0.00919536668692095,-0.0063856833885821,-0.0124180828693539
"2072","2015-02-18",-0.0133954775617673,-0.0171472967060407,-0.00694684446675328
"2073","2015-02-19",-0.00940619504821252,-0.000519907865158038,-0.014089518654322
"2074","2015-02-20",-0.0118977114418496,0,0.00768968297732416
"2075","2015-02-23",-0.0126505887000413,0.0051718865111768,-0.00104970727406566
"2076","2015-02-24",-0.0196560072477128,-0.00860713635893833,0.0165175360529342
"2077","2015-02-25",0.0133333366972794,0.000781824895494045,-0.00588439175468573
"2078","2015-02-26",-0.00732609064437654,-0.00471328234559476,-0.0176118611521979
"2079","2015-02-27",-0.0055247644594547,-0.0175859467555076,-0.0106799200652178
"2080","2015-03-02",-0.0213166377787795,-0.00458459755135027,-0.00500892447310944
"2081","2015-03-03",-0.0178685187733547,0.0127795547846849,-0.00323043034557127
"2082","2015-03-04",-0.0309211180820391,-0.00454672839093419,-0.0021583190358835
"2083","2015-03-05",-0.0333106369876572,-0.00754510664679969,-0.0105416010963271
"2084","2015-03-06",-0.00341066802779143,-0.00541861799596967,-0.0147546771911805
"2085","2015-03-09",-0.0180555677013143,-0.0267037009133724,-0.0127007898490168
"2086","2015-03-10",-0.0249110054044893,-0.0115363147883645,-0.00980765470305129
"2087","2015-03-11",0.0243885905943751,0.0133259325005292,-0.0190513497619616
"2088","2015-03-12",-0.0287563524366064,-0.0180893092556246,-0.0170026989805698
"2089","2015-03-13",-0.00943398279549523,-0.00113187459776289,-0.0107913864038563
"2090","2015-03-16",0.0164168802524366,-0.00340713308039548,0.00318726901152271
"2091","2015-03-17",-0.00646553117091047,-0.0031330381376224,0.00633411963831487
"2092","2015-03-18",0.0299652194178888,0.0228221597675101,0.0269645138053215
"2093","2015-03-19",-0.0436364588103643,-0.0146851326673223,-0.0375699069164173
"2094","2015-03-20",0.00865178510916256,0.00112836243682838,0.0122384396158344
